query_id,query,hit_at_5,ndcg_at_5,recall_at_5,p95_no_cache_ms,mean_no_cache_ms,p95_cached_ms,mean_cached_ms,cache_speedup_x
DQ001,How do deforestation and fire emissions contribute to the gl,1.0,0.43067655807339306,0.034482758620689655,114.57845492986972,101.03398498031311,4.6364549838472815,4.615864995867014,21.9
DQ002,How does climate change intensify floods through changes in ,0.0,0.0,0.0,108.30009503988559,95.84891000413336,4.314899974269854,4.295450000790879,22.3
DQ003,What are the key agricultural trade-offs when pursuing susta,1.0,1.0,0.08928571428571429,112.63975999900148,87.45885501266457,3.9701501023956203,3.949090011883527,22.1
DQ004,How does the dynamic sustainability framework address the pa,1.0,0.9674679834891693,0.2727272727272727,121.7734649660998,105.42364999419078,5.251484987093209,5.217809998430312,20.2
DQ005,What is the role of energy in carbon capture and storage as ,1.0,0.9828920819566879,0.034782608695652174,138.04557500989188,120.91964502469636,5.074259988032353,5.053060001228005,23.9
DQ006,What does the Global Carbon Budget 2020 report about Germany,1.0,1.0,0.06944444444444445,134.17303489986813,96.13249501562677,3.591560013592294,3.568409994477406,26.9
DQ007,How does particulate matter air pollution affect human healt,1.0,0.6509209298071326,0.024096385542168676,108.98255492211328,87.34936499386095,3.6694149894174704,3.6475000029895455,23.9
DQ008,What are the climate and resource costs of deep learning and,1.0,1.0,0.22727272727272727,140.48631003825002,103.30566999036819,4.553764942102198,4.510724998544902,22.9
DQ009,How does land use change affect river hydrology in the upper,1.0,1.0,0.35714285714285715,121.98580999393025,99.03951998567209,4.668509901966965,4.6445349988061935,21.3
DQ010,What are the interannual patterns and drivers of global biom,1.0,1.0,0.2631578947368421,104.32072502444507,94.49568499112502,11.467859987169668,11.447009997209534,8.3
